0,1,2,3,4,5,6,7,8,9,10
soda,chocolate,,,,,,,,,
coffee,whole milk,canned fruit,,,,,,,,
soda,oil,,,,,,,,,
chicken,whole milk,white bread,newspapers,,,,,,,
other vegetables,butter milk,long life bakery product,,,,,,,,
UHT-milk,beverages,,,,,,,,,
tropical fruit,butter,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
pip fruit,onions,domestic eggs,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
cream cheese ,frozen vegetables,sugar,coffee,,,,,,,
beef,whole milk,,,,,,,,,
curd,UHT-milk,,,,,,,,,
ice cream,pip fruit,,,,,,,,,
sausage,white bread,,,,,,,,,
hamburger meat,soda,hard cheese,,,,,,,,
whole milk,pastry,,,,,,,,,
citrus fruit,soda,,,,,,,,,
beef,chicken,,,,,,,,,
pastry,whole milk,,,,,,,,,
hamburger meat,berries,liquor,cream cheese ,,,,,,,
pastry,butter,,,,,,,,,
bottled water,specialty bar,curd,,,,,,,,
liquor (appetizer),hygiene articles,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
tropical fruit,red/blush wine,,,,,,,,,
other vegetables,chicken,onions,rolls/buns,spices,other vegetables,,,,,
rolls/buns,brown bread,,,,,,,,,
chicken,citrus fruit,,,,,,,,,
domestic eggs,whole milk,rice,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pastry,semi-finished bread,,,,,,,,,
brown bread,detergent,,,,,,,,,
domestic eggs,rolls/buns,,,,,,,,,
newspapers,root vegetables,pastry,margarine,,,,,,,
pork,canned beer,,,,,,,,,
chewing gum,bottled water,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
tropical fruit,canned vegetables,,,,,,,,,
root vegetables,flower (seeds),,,,,,,,,
specialty bar,domestic eggs,,,,,,,,,
liver loaf,frozen meals,yogurt,domestic eggs,flower (seeds),coffee,,,,,
root vegetables,bottled water,,,,,,,,,
tropical fruit,domestic eggs,chocolate,,,,,,,,
meat,pork,butter milk,cat food,,,,,,,
beef,packaged fruit/vegetables,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
citrus fruit,red/blush wine,,,,,,,,,
margarine,bottled water,,,,,,,,,
other vegetables,curd,,,,,,,,,
canned beer,pip fruit,,,,,,,,,
bottled water,butter milk,,,,,,,,,
soda,frankfurter,soda,salty snack,bottled water,frozen vegetables,yogurt,,,,
rolls/buns,whole milk,,,,,,,,,
candy,chewing gum,,,,,,,,,
coffee,soda,frozen vegetables,,,,,,,,
brown bread,whole milk,shopping bags,,,,,,,,
sausage,frozen dessert,brown bread,other vegetables,,,,,,,
sausage,pastry,shopping bags,,,,,,,,
chocolate,yogurt,,,,,,,,,
frozen vegetables,misc. beverages,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
butter milk,bottled beer,soda,,,,,,,,
root vegetables,whole milk,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
sausage,newspapers,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
sausage,other vegetables,rolls/buns,,,,,,,,
chicken,whole milk,vinegar,shopping bags,,,,,,,
pip fruit,white wine,whole milk,,,,,,,,
soda,whole milk,shopping bags,,,,,,,,
pickled vegetables,soda,,,,,,,,,
whole milk,rolls/buns,other vegetables,white bread,,,,,,,
sweet spreads,butter,,,,,,,,,
butter milk,margarine,,,,,,,,,
ham,tropical fruit,frozen meals,sparkling wine,,,,,,,
whole milk,domestic eggs,,,,,,,,,
berries,white wine,,,,,,,,,
whole milk,butter milk,,,,,,,,,
whole milk,specialty fat,,,,,,,,,
root vegetables,dessert,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
margarine,processed cheese,candles,shopping bags,,,,,,,
baking powder,brown bread,,,,,,,,,
berries,rolls/buns,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
sliced cheese,rolls/buns,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
whole milk,rolls/buns,other vegetables,margarine,,,,,,,
grapes,whole milk,frozen vegetables,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
citrus fruit,herbs,pudding powder,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
finished products,yogurt,,,,,,,,,
yogurt,napkins,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
dessert,root vegetables,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
frankfurter,curd,,,,,,,,,
citrus fruit,flour,,,,,,,,,
frankfurter,domestic eggs,frozen dessert,,,,,,,,
grapes,root vegetables,other vegetables,,,,,,,,
soda,butter,rolls/buns,,,,,,,,
sugar,butter,,,,,,,,,
pasta,canned beer,,,,,,,,,
tropical fruit,cat food,,,,,,,,,
coffee,bottled beer,shopping bags,,,,,,,,
grapes,semi-finished bread,,,,,,,,,
turkey,bottled water,,,,,,,,,
white wine,root vegetables,,,,,,,,,
cooking chocolate,hygiene articles,,,,,,,,,
meat,chocolate,brown bread,,,,,,,,
root vegetables,butter milk,,,,,,,,,
beef,mayonnaise,,,,,,,,,
citrus fruit,roll products ,,,,,,,,,
rolls/buns,cat food,beverages,,,,,,,,
tropical fruit,curd,whole milk,other vegetables,,,,,,,
other vegetables,rolls/buns,specialty cheese,,,,,,,,
sausage,chicken,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
misc. beverages,sliced cheese,domestic eggs,,,,,,,,
packaged fruit/vegetables,chocolate,,,,,,,,,
coffee,bottled beer,,,,,,,,,
other vegetables,dish cleaner,,,,,,,,,
bottled beer,oil,whole milk,dishes,,,,,,,
hamburger meat,margarine,,,,,,,,,
beef,whole milk,frozen dessert,whipped/sour cream,,,,,,,
UHT-milk,pip fruit,specialty chocolate,chewing gum,canned fruit,,,,,,
whole milk,whole milk,pastry,,,,,,,,
whole milk,fish,other vegetables,soda,,,,,,,
hamburger meat,candy,napkins,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
whole milk,flower (seeds),,,,,,,,,
white bread,baking powder,,,,,,,,,
root vegetables,ham,,,,,,,,,
brown bread,yogurt,,,,,,,,,
citrus fruit,soda,butter,hard cheese,,,,,,,
canned vegetables,fish,,,,,,,,,
rolls/buns,herbs,,,,,,,,,
newspapers,other vegetables,,,,,,,,,
frankfurter,butter,,,,,,,,,
chicken,shopping bags,other vegetables,whole milk,,,,,,,
canned vegetables,dental care,,,,,,,,,
brown bread,yogurt,,,,,,,,,
ice cream,whole milk,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
sliced cheese,pip fruit,,,,,,,,,
nuts/prunes,root vegetables,white wine,pastry,,,,,,,
root vegetables,frozen vegetables,domestic eggs,,,,,,,,
beef,rolls/buns,butter,,,,,,,,
sausage,curd,,,,,,,,,
chewing gum,yogurt,,,,,,,,,
frozen dessert,herbs,brown bread,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
misc. beverages,whipped/sour cream,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
cat food,curd,bottled water,frozen vegetables,tea,,,,,,
frankfurter,liquor (appetizer),red/blush wine,,,,,,,,
sausage,rolls/buns,,,,,,,,,
oil,yogurt,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
frankfurter,sliced cheese,butter,,,,,,,,
other vegetables,newspapers,,,,,,,,,
citrus fruit,frozen meals,,,,,,,,,
candy,sausage,other vegetables,frozen vegetables,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
newspapers,fruit/vegetable juice,specialty chocolate,,,,,,,,
whole milk,whole milk,,,,,,,,,
chocolate,pip fruit,rolls/buns,other vegetables,frozen vegetables,,,,,,
sausage,butter,yogurt,yogurt,,,,,,,
brown bread,yogurt,,,,,,,,,
beef,frozen vegetables,,,,,,,,,
rolls/buns,candy,,,,,,,,,
oil,chewing gum,,,,,,,,,
pip fruit,citrus fruit,,,,,,,,,
onions,cream cheese ,,,,,,,,,
cleaner,chewing gum,,,,,,,,,
frozen vegetables,dishes,root vegetables,pastry,,,,,,,
pip fruit,yogurt,,,,,,,,,
salty snack,soups,brown bread,,,,,,,,
sausage,citrus fruit,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
butter milk,whole milk,,,,,,,,,
soda,butter,,,,,,,,,
specialty cheese,meat,cat food,bottled beer,newspapers,,,,,,
domestic eggs,root vegetables,,,,,,,,,
canned beer,berries,,,,,,,,,
pork,root vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
pip fruit,brown bread,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
chicken,soda,shopping bags,,,,,,,,
sugar,fruit/vegetable juice,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
dog food,processed cheese,,,,,,,,,
sausage,pastry,,,,,,,,,
soda,bottled beer,brown bread,,,,,,,,
rolls/buns,coffee,,,,,,,,,
Instant food products,soda,,,,,,,,,
ham,curd,,,,,,,,,
sliced cheese,sliced cheese,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
yogurt,whole milk,,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
ham,yogurt,,,,,,,,,
UHT-milk,margarine,,,,,,,,,
bottled water,margarine,onions,other vegetables,whole milk,,,,,,
other vegetables,other vegetables,,,,,,,,,
liver loaf,pasta,grapes,other vegetables,,,,,,,
chicken,tropical fruit,citrus fruit,yogurt,,,,,,,
whole milk,tropical fruit,,,,,,,,,
tropical fruit,citrus fruit,chocolate,,,,,,,,
pork,newspapers,,,,,,,,,
herbs,packaged fruit/vegetables,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
brown bread,pip fruit,,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
canned beer,frankfurter,chicken,whole milk,softener,vinegar,,,,,
yogurt,tropical fruit,bottled water,yogurt,,,,,,,
canned beer,frozen vegetables,,,,,,,,,
butter milk,whipped/sour cream,,,,,,,,,
chewing gum,spread cheese,,,,,,,,,
ham,other vegetables,,,,,,,,,
citrus fruit,brown bread,cat food,,,,,,,,
citrus fruit,cream cheese ,,,,,,,,,
meat,liver loaf,,,,,,,,,
specialty bar,processed cheese,whole milk,whole milk,misc. beverages,,,,,,
pork,shopping bags,bottled water,,,,,,,,
ice cream,Instant food products,long life bakery product,,,,,,,,
misc. beverages,cream cheese ,,,,,,,,,
hamburger meat,other vegetables,chocolate marshmallow,,,,,,,,
margarine,fruit/vegetable juice,,,,,,,,,
brown bread,bottled beer,,,,,,,,,
other vegetables,pastry,,,,,,,,,
other vegetables,frankfurter,other vegetables,newspapers,spread cheese,,,,,,
rolls/buns,tropical fruit,coffee,chocolate,,,,,,,
dishes,shopping bags,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
frankfurter,cream cheese ,yogurt,baking powder,,,,,,,
whole milk,frozen vegetables,semi-finished bread,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
UHT-milk,hard cheese,,,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
long life bakery product,butter,rolls/buns,newspapers,,,,,,,
other vegetables,citrus fruit,rolls/buns,,,,,,,,
whole milk,sweet spreads,soda,soda,,,,,,,
whole milk,onions,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
pork,beverages,frozen fish,,,,,,,,
bottled water,bottled water,,,,,,,,,
beef,newspapers,bottled beer,,,,,,,,
rolls/buns,rum,,,,,,,,,
specialty chocolate,baking powder,soda,,,,,,,,
beef,waffles,citrus fruit,waffles,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
liver loaf,herbs,,,,,,,,,
beef,tropical fruit,,,,,,,,,
ice cream,whole milk,margarine,whole milk,,,,,,,
bottled water,long life bakery product,soda,,,,,,,,
sausage,dessert,,,,,,,,,
domestic eggs,cat food,,,,,,,,,
tropical fruit,white wine,curd,grapes,,,,,,,
whole milk,curd,,,,,,,,,
beef,curd,,,,,,,,,
citrus fruit,rolls/buns,frozen vegetables,,,,,,,,
beverages,other vegetables,curd,,,,,,,,
brown bread,whole milk,,,,,,,,,
soda,canned vegetables,,,,,,,,,
soft cheese,specialty chocolate,,,,,,,,,
hamburger meat,curd,,,,,,,,,
bottled beer,canned vegetables,,,,,,,,,
citrus fruit,onions,,,,,,,,,
detergent,rolls/buns,yogurt,,,,,,,,
rolls/buns,tropical fruit,,,,,,,,,
meat,soda,,,,,,,,,
other vegetables,beverages,margarine,,,,,,,,
sausage,sausage,frozen fish,house keeping products,,,,,,,
whole milk,detergent,yogurt,fruit/vegetable juice,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
tropical fruit,cat food,pot plants,curd,soft cheese,soft cheese,,,,,
sausage,other vegetables,,,,,,,,,
beef,root vegetables,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
sugar,napkins,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
other vegetables,pot plants,,,,,,,,,
ketchup,whole milk,,,,,,,,,
dental care,other vegetables,pet care,,,,,,,,
soda,rolls/buns,,,,,,,,,
frozen fish,margarine,,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
pot plants,herbs,,,,,,,,,
misc. beverages,dishes,,,,,,,,,
packaged fruit/vegetables,pet care,,,,,,,,,
whole milk,sausage,yogurt,whole milk,butter,,,,,,
frankfurter,yogurt,,,,,,,,,
canned beer,bottled beer,pip fruit,candy,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
canned beer,whole milk,other vegetables,,,,,,,,
root vegetables,soups,decalcifier,,,,,,,,
frozen dessert,fruit/vegetable juice,,,,,,,,,
pork,canned beer,,,,,,,,,
newspapers,soda,female sanitary products,,,,,,,,
pastry,hygiene articles,,,,,,,,,
yogurt,whole milk,onions,sugar,,,,,,,
root vegetables,white wine,liquor (appetizer),,,,,,,,
other vegetables,yogurt,whole milk,spread cheese,,,,,,,
sugar,shopping bags,,,,,,,,,
pork,root vegetables,,,,,,,,,
beverages,margarine,napkins,napkins,,,,,,,
frankfurter,chicken,cocoa drinks,onions,whole milk,UHT-milk,canned fish,bottled beer,,,
onions,canned beer,,,,,,,,,
frankfurter,soda,,,,,,,,,
hard cheese,soda,,,,,,,,,
brown bread,pastry,,,,,,,,,
newspapers,salty snack,,,,,,,,,
specialty cheese,other vegetables,,,,,,,,,
meat,pip fruit,,,,,,,,,
pip fruit,white wine,white bread,salt,,,,,,,
newspapers,yogurt,,,,,,,,,
bottled water,detergent,domestic eggs,yogurt,,,,,,,
whole milk,rolls/buns,,,,,,,,,
citrus fruit,cereals,,,,,,,,,
soda,pip fruit,,,,,,,,,
soda,beverages,fruit/vegetable juice,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
whole milk,organic products,,,,,,,,,
pip fruit,napkins,cat food,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
sausage,whole milk,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
onions,hamburger meat,,,,,,,,,
other vegetables,cream cheese ,yogurt,yogurt,whole milk,waffles,curd,fruit/vegetable juice,,,
whipped/sour cream,tropical fruit,specialty chocolate,flour,,,,,,,
grapes,long life bakery product,,,,,,,,,
berries,frozen meals,dish cleaner,,,,,,,,
spread cheese,pork,,,,,,,,,
margarine,detergent,yogurt,zwieback,,,,,,,
grapes,chicken,bottled beer,root vegetables,,,,,,,
hamburger meat,coffee,yogurt,,,,,,,,
soda,sliced cheese,,,,,,,,,
coffee,long life bakery product,,,,,,,,,
yogurt,root vegetables,waffles,,,,,,,,
domestic eggs,yogurt,,,,,,,,,
pet care,soda,,,,,,,,,
citrus fruit,flour,,,,,,,,,
liquor,brown bread,whole milk,,,,,,,,
yogurt,cream cheese ,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
packaged fruit/vegetables,sweet spreads,,,,,,,,,
chicken,curd,,,,,,,,,
other vegetables,fruit/vegetable juice,white bread,,,,,,,,
curd,soft cheese,,,,,,,,,
specialty bar,other vegetables,,,,,,,,,
whole milk,soda,,,,,,,,,
cling film/bags,whipped/sour cream,coffee,,,,,,,,
margarine,rolls/buns,,,,,,,,,
tropical fruit,brown bread,,,,,,,,,
tropical fruit,white wine,oil,,,,,,,,
herbs,coffee,salt,,,,,,,,
sausage,UHT-milk,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
pot plants,frozen potato products,,,,,,,,,
root vegetables,yogurt,napkins,,,,,,,,
hard cheese,pastry,,,,,,,,,
other vegetables,canned beer,newspapers,,,,,,,,
tropical fruit,cat food,soda,,,,,,,,
root vegetables,sliced cheese,,,,,,,,,
hamburger meat,condensed milk,,,,,,,,,
sausage,whole milk,popcorn,fruit/vegetable juice,canned fruit,whole milk,soda,,,,
pasta,tropical fruit,,,,,,,,,
sausage,other vegetables,,,,,,,,,
make up remover,shopping bags,,,,,,,,,
tropical fruit,cling film/bags,,,,,,,,,
fruit/vegetable juice,spices,,,,,,,,,
waffles,shopping bags,sparkling wine,,,,,,,,
pork,bottled water,,,,,,,,,
sauces,frozen vegetables,,,,,,,,,
chicken,spread cheese,,,,,,,,,
sausage,other vegetables,,,,,,,,,
root vegetables,coffee,shopping bags,specialty bar,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
sausage,whole milk,,,,,,,,,
whole milk,canned beer,specialty bar,sugar,detergent,,,,,,
beverages,newspapers,newspapers,pastry,,,,,,,
pork,frozen meals,,,,,,,,,
ice cream,onions,soda,,,,,,,,
hamburger meat,white bread,,,,,,,,,
pip fruit,waffles,,,,,,,,,
dessert,margarine,,,,,,,,,
other vegetables,berries,organic products,,,,,,,,
other vegetables,newspapers,,,,,,,,,
hamburger meat,toilet cleaner,rolls/buns,,,,,,,,
pip fruit,bottled water,salt,,,,,,,,
margarine,misc. beverages,,,,,,,,,
berries,cream cheese ,,,,,,,,,
soda,beverages,,,,,,,,,
pastry,bottled water,,,,,,,,,
candy,whipped/sour cream,,,,,,,,,
soda,other vegetables,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
yogurt,liqueur,,,,,,,,,
curd,napkins,,,,,,,,,
frozen meals,red/blush wine,whipped/sour cream,,,,,,,,
chicken,male cosmetics,,,,,,,,,
ice cream,root vegetables,hygiene articles,,,,,,,,
tropical fruit,cat food,,,,,,,,,
turkey,grapes,soda,,,,,,,,
sausage,bottled water,,,,,,,,,
sausage,white bread,,,,,,,,,
newspapers,misc. beverages,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
soda,rolls/buns,,,,,,,,,
beef,chocolate,pastry,,,,,,,,
berries,baking powder,,,,,,,,,
soda,red/blush wine,,,,,,,,,
other vegetables,curd,,,,,,,,,
citrus fruit,margarine,sliced cheese,,,,,,,,
other vegetables,chewing gum,newspapers,,,,,,,,
root vegetables,sausage,brown bread,UHT-milk,sliced cheese,frozen vegetables,white bread,,,,
tropical fruit,white wine,,,,,,,,,
sausage,soda,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
pip fruit,white bread,sliced cheese,,,,,,,,
tropical fruit,whole milk,sweet spreads,,,,,,,,
citrus fruit,salt,,,,,,,,,
shopping bags,rubbing alcohol,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
sausage,hamburger meat,pork,chewing gum,whole milk,soda,soft cheese,yogurt,,,
misc. beverages,spread cheese,,,,,,,,,
pastry,curd,bottled beer,,,,,,,,
pip fruit,frozen vegetables,,,,,,,,,
pip fruit,white bread,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
whole milk,condensed milk,,,,,,,,,
packaged fruit/vegetables,frozen fruits,rolls/buns,,,,,,,,
pip fruit,other vegetables,flour,,,,,,,,
pet care,flour,coffee,napkins,,,,,,,
whole milk,rolls/buns,,,,,,,,,
tropical fruit,mustard,sliced cheese,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
root vegetables,pastry,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
soda,prosecco,canned fish,,,,,,,,
meat,house keeping products,,,,,,,,,
bottled water,onions,,,,,,,,,
chicken,flower (seeds),,,,,,,,,
soda,candles,,,,,,,,,
liquor,cream cheese ,rolls/buns,,,,,,,,
beef,sausage,oil,candles,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
sausage,berries,rolls/buns,,,,,,,,
oil,bottled beer,,,,,,,,,
specialty bar,margarine,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
other vegetables,coffee,,,,,,,,,
berries,grapes,onions,,,,,,,,
other vegetables,cake bar,,,,,,,,,
whole milk,sausage,bottled beer,yogurt,,,,,,,
ice cream,chicken,rolls/buns,whole milk,,,,,,,
soda,pip fruit,pasta,,,,,,,,
tropical fruit,whole milk,shopping bags,,,,,,,,
tropical fruit,soda,,,,,,,,,
tropical fruit,frozen vegetables,rice,,,,,,,,
beef,citrus fruit,whole milk,yogurt,,,,,,,
tropical fruit,waffles,bottled beer,,,,,,,,
root vegetables,brown bread,,,,,,,,,
other vegetables,brown bread,bottled water,specialty bar,,,,,,,
newspapers,whole milk,,,,,,,,,
root vegetables,hard cheese,,,,,,,,,
chocolate,yogurt,,,,,,,,,
herbs,rolls/buns,,,,,,,,,
other vegetables,berries,whipped/sour cream,,,,,,,,
brown bread,grapes,bottled water,soda,,,,,,,
grapes,frozen meals,flower (seeds),,,,,,,,
frozen meals,root vegetables,cat food,,,,,,,,
frankfurter,yogurt,,,,,,,,,
beef,rolls/buns,seasonal products,,,,,,,,
meat,tropical fruit,whipped/sour cream,,,,,,,,
berries,onions,,,,,,,,,
soda,butter milk,soda,,,,,,,,
nut snack,canned beer,,,,,,,,,
canned beer,flower soil/fertilizer,,,,,,,,,
chicken,soda,,,,,,,,,
frozen potato products,chewing gum,,,,,,,,,
curd,dessert,,,,,,,,,
pork,waffles,tropical fruit,pork,canned beer,whipped/sour cream,newspapers,cream cheese ,,,
chicken,whole milk,specialty bar,,,,,,,,
whipped/sour cream,salty snack,,,,,,,,,
chicken,shopping bags,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
curd,bottled beer,,,,,,,,,
pastry,newspapers,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
ham,beef,sliced cheese,butter milk,,,,,,,
misc. beverages,coffee,,,,,,,,,
hard cheese,processed cheese,,,,,,,,,
pip fruit,chewing gum,,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
frozen vegetables,beef,UHT-milk,abrasive cleaner,,,,,,,
white bread,beverages,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
bottled beer,white bread,,,,,,,,,
whole milk,citrus fruit,napkins,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
sausage,pastry,soda,,,,,,,,
sausage,chicken,,,,,,,,,
other vegetables,other vegetables,newspapers,pip fruit,,,,,,,
whole milk,whole milk,,,,,,,,,
pork,whole milk,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
citrus fruit,cake bar,,,,,,,,,
sausage,hamburger meat,,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
sausage,chocolate,newspapers,pastry,,,,,,,
sweet spreads,berries,whole milk,yogurt,pip fruit,root vegetables,root vegetables,specialty chocolate,softener,,
canned beer,citrus fruit,,,,,,,,,
meat spreads,shopping bags,,,,,,,,,
frozen meals,bottled water,,,,,,,,,
pork,pudding powder,domestic eggs,,,,,,,,
sugar,whole milk,pastry,salty snack,,,,,,,
citrus fruit,whole milk,bottled water,,,,,,,,
house keeping products,rolls/buns,mayonnaise,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
rolls/buns,domestic eggs,coffee,,,,,,,,
pastry,soda,,,,,,,,,
bottled water,liquor,,,,,,,,,
oil,whole milk,,,,,,,,,
soda,oil,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
dessert,salty snack,,,,,,,,,
other vegetables,pasta,,,,,,,,,
yogurt,pip fruit,house keeping products,frozen vegetables,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
rolls/buns,other vegetables,butter,root vegetables,rolls/buns,,,,,,
rolls/buns,butter,,,,,,,,,
chocolate,ice cream,,,,,,,,,
oil,soda,sliced cheese,,,,,,,,
whole milk,other vegetables,,,,,,,,,
other vegetables,grapes,yogurt,butter milk,candy,soft cheese,,,,,
pork,soda,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
liver loaf,newspapers,white wine,,,,,,,,
whole milk,onions,pickled vegetables,,,,,,,,
pastry,syrup,,,,,,,,,
pastry,whole milk,,,,,,,,,
chicken,beef,pork,beef,newspapers,dessert,margarine,brown bread,newspapers,,
bottled water,bottled beer,,,,,,,,,
canned beer,margarine,pastry,,,,,,,,
other vegetables,semi-finished bread,,,,,,,,,
beef,UHT-milk,,,,,,,,,
other vegetables,shopping bags,other vegetables,,,,,,,,
root vegetables,popcorn,long life bakery product,domestic eggs,,,,,,,
newspapers,napkins,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
meat,rolls/buns,soda,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
kitchen towels,bottled water,citrus fruit,butter,hygiene articles,,,,,,
bottled beer,rolls/buns,whole milk,,,,,,,,
other vegetables,whole milk,,,,,,,,,
onions,root vegetables,,,,,,,,,
whole milk,baking powder,,,,,,,,,
bottled water,frozen chicken,,,,,,,,,
coffee,bottled water,liqueur,,,,,,,,
hamburger meat,coffee,,,,,,,,,
bottled beer,white bread,,,,,,,,,
whipped/sour cream,onions,other vegetables,yogurt,rolls/buns,,,,,,
sausage,other vegetables,shopping bags,napkins,,,,,,,
yogurt,whole milk,,,,,,,,,
frozen meals,sugar,,,,,,,,,
bottled water,berries,,,,,,,,,
sausage,bottled water,,,,,,,,,
candy,margarine,butter,,,,,,,,
specialty chocolate,white bread,shopping bags,,,,,,,,
citrus fruit,waffles,,,,,,,,,
tropical fruit,dishes,,,,,,,,,
specialty bar,rolls/buns,processed cheese,,,,,,,,
other vegetables,whole milk,,,,,,,,,
yogurt,grapes,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
canned beer,yogurt,,,,,,,,,
whole milk,soda,yogurt,,,,,,,,
citrus fruit,shopping bags,domestic eggs,,,,,,,,
rolls/buns,hygiene articles,,,,,,,,,
pork,curd,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
napkins,white bread,,,,,,,,,
vinegar,butter,newspapers,,,,,,,,
pork,whole milk,beverages,soda,,,,,,,
bottled water,root vegetables,,,,,,,,,
condensed milk,whole milk,,,,,,,,,
other vegetables,yogurt,soda,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
newspapers,misc. beverages,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
white wine,domestic eggs,,,,,,,,,
other vegetables,dessert,,,,,,,,,
nut snack,bottled beer,,,,,,,,,
frankfurter,rolls/buns,newspapers,waffles,,,,,,,
sugar,spread cheese,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
frankfurter,frozen meals,,,,,,,,,
soda,grapes,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
chicken,sugar,domestic eggs,,,,,,,,
pastry,domestic eggs,,,,,,,,,
